זמן התחלה,ממוצע
2025-06-16 00:00:00,52.582589285714285
2025-06-16 01:00:00,50.64535017221584
2025-06-16 02:00:00,50.1425355450237
2025-06-16 03:00:00,50.82756632064591
2025-06-16 04:00:00,49.57446808510638
2025-06-16 05:00:00,47.833774038461534
2025-06-16 06:00:00,50.52102206736353
2025-06-16 07:00:00,50.618116805721094
2025-06-16 08:00:00,50.33108108108108
2025-06-16 09:00:00,49.846715328467155
2025-06-16 10:00:00,50.187372013651874
2025-06-16 11:00:00,51.017866004962784
2025-06-16 12:00:00,49.767768595041325
2025-06-16 13:00:00,50.23462441314554
2025-06-16 14:00:00,49.58601156069364
2025-06-16 15:00:00,50.77837837837838
2025-06-16 16:00:00,49.023501199040766
2025-06-16 17:00:00,50.23831325301205
2025-06-16 18:00:00,50.79412455934195
2025-06-16 19:00:00,52.010022271714924
2025-06-16 20:00:00,52.2440490797546
2025-06-16 21:00:00,50.70405092592593
2025-06-16 22:00:00,50.15525059665871
2025-06-16 23:00:00,50.39342251950948
