זמן התחלה,ממוצע
2025-06-20 00:00:00,49.79433320868184
2025-06-20 01:00:00,50.53133324248942
2025-06-20 02:00:00,49.66615818691071
2025-06-20 03:00:00,49.926207651346154
2025-06-20 04:00:00,50.315678883993364
2025-06-20 05:00:00,50.086153339392965
2025-06-20 06:00:00,50.21193093991449
2025-06-20 07:00:00,49.916796512579694
2025-06-20 08:00:00,50.217114021711126
2025-06-20 09:00:00,50.25676464941485
2025-06-20 10:00:00,49.79391145615534
2025-06-20 11:00:00,49.73240518571109
2025-06-20 12:00:00,50.3853414346778
2025-06-20 13:00:00,50.050608732992174
2025-06-20 14:00:00,50.07138889460805
2025-06-20 15:00:00,49.51624185810364
2025-06-20 16:00:00,50.03538071300816
2025-06-20 17:00:00,50.76795668873887
2025-06-20 18:00:00,50.15583706150329
2025-06-20 19:00:00,50.421969566394196
2025-06-20 20:00:00,49.51907197652387
2025-06-20 21:00:00,49.262231607843056
2025-06-20 22:00:00,50.60171197188945
2025-06-20 23:00:00,50.42778538805341
